cat stevens,peace train,now i've been happy lately & thinking about the good things to come & and i believe it could be & something good has begun & i've been smiling lately & dreaming about the world as one & and i believe it could be & something good's bound to come & for out on the edge of darkness & there runs the peace train & peace train take this country & come take me home again & peace train sounding louder & ride on the peace train & hoo-ah-eeh-ah-hoo-ah & come on the peace train & peace train's a holy roller & everyone jump upon the peace train & hoo-ah-eeh-ah-hoo-ah & this is the peace train & get your bags together & come bring your good friends too & because it's getting nearer & soon it will be with you & come and join the living & it's not so far from you & and it's getting nearer & soon it will all be true & peace train sounding louder & ride on the peace train & hoo-ah-eeh-ah-hoo-ah & come on the peace train & i've been crying lately & thinking about the world as it is & why must we go on hating? & why can't we live in bliss? & for out on the edge of darkness & there rides the peace train & peace train take this country & come take me home again & peace train sounding louder & ride on the peace train & hoo-ah-eeh-ah-hoo-ah & come on the peace train & come on come on come on the peace train &,,,,
cat stevens,father and son,it's not time to make a change   & just relax take it easy   & you're still young that's your fault   & there's so much you have to know   & find a girl settle down   & if you want you can marry   & look at me i am old but i'm happy   &    & i was once like you are now   & and i know that it's not easy   & to be calm when you've found   & something going on   & but take your time think a lot   & think of everything you've got   & for you will still be here tomorrow   & but your dreams may not   &    & how can i try to explain?   & when i do he turns away again   & it's always been the same same old story   & from the moment i could talk   & i was ordered to listen   & now there's a way   & and i know that i have to go away   & i know i have to go   &    & it's not time to make a change   & just sit down take it slowly   & you're still young that's your fault   & there's so much you have to go through   & find a girl settle down   & if you want you can marry   & look at me i am old but i'm happy   &    & all the times that i've cried   & keeping all the things i knew inside   & it's hard but it's harder to ignore it   & if they were right i'd agree   & but it's them they know not me   & now there's a way   & and i know that i have to go away   & i know i have to go &  &  &cat stevens,oh very young,oh very young what will you leave us this time & you're only dancin' on this earth for a short while & and though your dreams may toss and turn you now & they will vanish away like your dads best jeans & denim blue faded up to the sky & and though you want them to last forever & you know they never will & (you know they never will) & and the patches make the goodbye harder still. & oh very young what will you leave us this time & there'll never be a better chance to change your mind & and if you want this world to see a better day & will you carry the words of love with you & will you ride the great white bird into heaven & and though you want to last forever & you know you never will & (you know you never will) & and the goodbye makes the journey harder still. & will you carry the words of love with you & will you ride oh oooh & oh very young what will you leave us this time & you're only dancin' on this earth for a short while & oh very young what will you leave us this time &,,
adele,hello,hello it's me & i was wondering if after all these years you'd like to meet & to go over everything & they say that time's supposed to heal ya & but i ain't done much healing & hello can you hear me? & i'm in california dreaming about who we used to be & when we were younger and free & i've forgotten how it felt before the world fell at our feet & there's such a difference between us & and a million miles & hello from the other side & i must've called a thousand times & to tell you i'm sorry & for everything that i've done & but when i call you never & seem to be home & hello from the outside & at least i can say that i've tried & to tell you i'm sorry & for breaking your heart & but it don't matter it clearly & doesn't tear you apart anymore & hello how are you? & it's so typical of me to talk about myself i'm sorry & i hope that you're well & did you ever make it out of that town & where nothing ever happened? & it's no secret & that the both of us & are running out of time & so hello from the other side (other side) & i must've called a thousand times (thousand times) & to tell you i'm sorry & for everything that i've done & but when i call you never & seem to be home & hello from the outside (outside) & at least i can say that i've tried (i've tried) & to tell you i'm sorry & for breaking your heart & but it don't matter it clearly & doesn't tear you apart anymore & oh anymore & oh anymore & oh anymore & anymore & hello from the other side (other side) & i must've called a thousand times (thousand times) & to tell you i'm sorry & for everything that i've done & but when i call you never & seem to be home & hello from the outside (outside) & at least i can say that i've tried (i've tried) & to tell you i'm sorry & for breaking your heart & but it don't matter it clearly & doesn't tear you apart anymore &,,,,
adele,hometown glory,i've been walking in the same way as i did & missing out the cracks in the pavement & and turning my heel and strutting my feet & is there anything i can do for you dear? & is there anyone i could call? & no and thank you please madam. & i ain't lost just wandering & round my hometown & memories are fresh & round my hometown & ooh the people i've met & are the wonders of my world & are the wonders of my world & are the wonders of this world & are the wonders of now & i like it in the city when the air is so thick and opaque & i love to see everybody in short skirts shorts and shades & i like it in the city when two worlds collide & you get the people and the government & everybody taking different sides & shows that we ain't gonna stand shit & shows that we are united & shows that we ain't gonna take it & shows that we ain't gonna stand shit & shows that we are united & round my hometown & memories are fresh & round my hometown & ooh the people i've met yea & are the wonders of my world & are the wonders of my world & are the wonders of this world & are the wonders of my world & of my world yeah & of my world & of my world yeah &,,,,
adele,someone like you,i heard that you're settled down & that you found a girl and you're married now & i heard that your dreams came true & guess she gave you things i didn't give to you & old friend why are you so shy? & ain't like you to hold back or hide from the light & i hate to turn up out of the blue uninvited & but i couldn't stay away i couldn't fight it & i had hoped you'd see my face and that you'd be reminded & that for me it isn't over & never mind i'll find someone like you & i wish nothing but the best for you two & don't forget me i beg i remember you said & sometimes it lasts in love but sometimes it hurts instead & sometimes it lasts in love but sometimes it hurts instead & you know how the time flies & only yesterday was the time of our lives & we were born and raised in a summer haze & bound by the surprise of our glory days & i hate to turn up out of the blue uninvited & but i couldn't stay away i couldn't fight it & i had hoped you'd see my face and that you'd be reminded & that for me it isn't over & never mind i'll find someone like you & i wish nothing but the best for you two & don't forget me i beg i remember you said & sometimes it lasts in love but sometimes it hurts instead yeah & nothing compares no worries or cares & regrets and mistakes they're memories made & who would have known how bittersweet this would taste? & never mind i'll find someone like you & i wish nothing but the best for you & don't forget me i beg i remember you said & sometimes it lasts in love but sometimes it hurts instead & never mind i'll find someone like you & i wish nothing but the best for you two & don't forget me i beg i remember you said & sometimes it lasts in love but sometimes it hurts instead & sometimes it lasts in love but sometimes it hurts instead &,,,,
everclear,everything to everyone,you put yourself in stupid places & yes i think you know it's true & situations where it's easy to look down on you & i think you like to be the victim & i think you like to be in pain & i think you make yourself a victim & almost every single day & [chorus] & you do what you do & you say what you say & you try to be everything to everyone & you know all the right people & you play all the right games & you always try to be & everything to everyone & yeah you do it again & you always do it again & you say they taught you how to read and write & they taught you how to count & i say they taught you how to buy and sell & your own body by the pound & i think you like to be their simple toy & i think you love to play the clown & i think you are blind to the fact & that the hand you hold & is the hand that holds you down & [chorus] & spin around and fall down & do it again & you stumble and you fall & yeah why won't you ever learn & spin around and fall down & do it again & you stumble and you fall & i wonder if you will ever learn & why won't you ever learn & come on now & do that stupid dance for me & you do what they tell you to do & you say what they say & you try to be everything to everyone & you jump through the big hoop & you play all the right games & you try to be & everything to everyone & spin around and fall down & do it again & you stumble and you fall & yeah you do it again & spin around and fall down & do it again & you stumble and you fall &,,,,
everclear,i will buy you a new life,here is the money that i owe you & yes you can pay the bills & i will give you more & when i get paid again & i hate those people who love to tell you & money is the root of all that kills & they have never been poor & they have never had the joy of a welfare christmas & i know we will never look back & you say you wake up crying & yes and you don't know why & you get up and you go lay down & inside my baby's room & yeah i guess i'm doing ok & i moved in with the strangest guy & can you believe he actually thinks & that i am really alive & i will buy you a garden & where your flowers can bloom & i will buy you a new car & perfect shiny and new & i will buy you that big house & way up in the west hills & i will buy you a new life & yes i will & yes i know all about that other guy & the handsome man with athletic thighs & i know about all the time before & with that obsessive little rich boy & they might make you think you're happy & yeah maybe for a minute or two & they can't make you laugh & no they can't make you feel the way that i do & i will buy you a garden & where your flowers can bloom & i will buy you a new car & perfect shiny and new & i will buy you that big house & way up in the west hills & i will buy you a new life & i will buy you a new life & i know we can never look back & will you please let me stay the night & will you please let me stay the night & no one will ever know & i will buy you a garden & where your flowers can bloom & i will buy you a new car & perfect shiny and new & i will buy you that big house & way up in the west hills & i will buy you a new life & i will buy you a garden & where your flowers can bloom & i will buy you a new car & perfect shiny and new & i will buy you that big house & way up in the west hills & i will buy you a new life & i will buy you a new life & i will buy you a new life & i will buy you a new life & i will buy you a new life & i will buy you a new life & i will buy you a new life &,,,,
everclear,santa monica,i am still living with your ghost & lonely and dreaming of the west coast & i don't want to be your downtime & i don't want to be your stupid game & with my big black boots and an old suitcase & i do believe i'll find myself a new place & i don't want to be the bad guy & i don't want do your sleepwalk dance anymore & i just want to see some palm trees & i will try and shake away this disease & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & i am still dreaming of you face & hungry and hollow for all the things you took away & i don't want to be your good time & i don't want to be your fall-back crutch anymore & i'll walk right out into a brand new day & insane and rising in my own weird way & i don't want to be the bad guy & i don't want to do your sleepwalk dance anymore & i just want to feel some sunshine & i just want to find some place to be alone & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & yeah watch the world die & yeah watch the world die & yeah watch the world die & yeah watch the world die &,,,,
everclear,father of mine,father of mine & tell me where have you been & you know i just closed my eyes & my whole world disappeared & father of mine & take me back to the day & when i was still your golden boy & back before you went away & i remember the blue skies & walking the block & i loved it when you held me high & i loved to hear you talk & you would take me to the movie & you would take me to the beach & you would take me to a place inside & that is so hard to reach & father of mine & tell me where did you go & you had the world inside your hand & but you did not seem to know & father of mine & tell me what do you see & when you look back at your wasted life & and you don't see me & i was ten years old & doing all that i could & it wasn't easy for me & to be a scared white boy & in a black neighborhood & sometimes you would send me a birthday card & with a five dollar bill & i never understood you then & and i guess i never will & daddy gave me a name & my dad he gave me a name & then he walked away & daddy gave me a name & then he walked away & my dad gave me a name & father of mine & tell me where have you been & i just closed my eyes & and the world disappeared & father of mine & tell me how do you sleep & with the children you abandoned & and the wife i saw you beat & i will never be safe & i will never be sane & i will always be weird inside & i will always be lame & now i'm a grown man & with a child of my own & and i swear i'm not going to let her know & all the pain i have known & then he walked away & daddy gave me a name & then he walked away & my dad gave me a name & then he walked away & daddy gave me a name & then he walked away & my dad gave me a name & then he walked away &,,,,
the crystals,da doo ron ron,i met him on a monday and my heart stood still & da do ron-ron-ron da do ron-ron & somebody told me that his name was bill & da do ron-ron-ron da do ron-ron & yeah my heart stood still & yes his name was bill & and when he walked me home & da do ron-ron-ron da do ron-ron & i knew what he was doing when he caught my eye & da do ron-ron-ron da do ron-ron & he looked so quiet but my oh my & da do ron-ron-ron da do ron-ron & yeah he caught my eye & yes oh my oh my & and when he walked me home & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron & he picked me up at seven and he looked so fine & da do ron-ron-ron da do ron-ron & someday soon i'm gonna make him mine & da do ron-ron-ron da do ron-ron & yeah he looked so fine & yes i'll make him mine & and when he walked me home & da do ron-ron-ron da do ron-ron & yeah-yeah-yeah-yeah & da-do-ron-ron & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron & da do ron-ron-ron da do ron-ron &,,,,
blur,country house,city dweller successful fella thought to himself & oops i've got a lot of money & caught in a rat race terminally & i'm a professional cynic but my heart's not in it & i'm payin' the price of livin' life at the limit & caught up in the century's anxiety & yes it preys on him & he's gettin' thin try the simple life & he lives in a house & a very big house in the country & watchin' afternoon repeats & and the food he eats in the country & he takes all manner of pills & and piles up analyst bills in the country & oh it's like an animal farm & that's the rural charm in the country & he's got morning glory and life's a different story & everything's going jackanory & touched with his own mortality & he's reading balzac knocking back prozac & it's a helping hand that makes you feel wonderfully blind & oh it's a century's remedy & for the faint at heart & a new start try the simple life & he lives in a house & a very big house in the country & he's got a fog in his chest & so he needs a lot of rest in the country & he doesn't drink smoke laugh & takes herbal baths in the country & you should come to no harm & on the animal farm in the country & in the country in the country in the country & blow blow me out i am so sad i don't know why? & blow blow me out i am so sad i don't know why? & oh he lives in a house & a very big house in the country & watchin' afternoon repeats & and the food he eats in the country & he takes all manner of pills & and piles up analyst bills in the country & oh it's like an animal farm & that's the rural charm in the country & oh he lives in a house & a very big house in the country & he's got a fog in his chest & so he needs a lot of rest in the country & he doesn't drink smoke laugh & takes herbal baths in the country & you should come to no harm & on the animal farm in the country &,,,,
blur,tender,tender is the night & lying by your side & tender is the touch & of someone that you love too much & tender is the day & the demons go away & lord i need to find & someone who can heal my mind & come on come on come on & get through it & come on come on come on & love's the greatest thing & come on come on come on & get through it & come on come on come on & love's the greatest thing & that we have & i'm waiting for that feeling & i'm waiting for that feeling & waiting for that feeling to come & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & tender is the ghost & the ghost i love the most & hiding from the sun & waiting for the night to come & tender is my heart & i'm screwing up my life & lord i need to find & someone who can heal my mind & come on come on come on & get through it & come on come on come on & love's the greatest thing & come on come on come on & get through it & come on come on come on & love's the greatest thing & that we have & i'm waiting for that feeling & i'm waiting for that feeling & waiting for that feeling to come & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & come on come on come on & get through it & come on come on come on & love's the greatest thing & come on come on come on & get through it & come on come on come on & love's the greatest thing & that we have & i'm waiting for that feeling & i'm waiting for that feeling & waiting for that feeling to come & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & tender is the night & lying by your side & tender is the touch & of someone that you love too much & tender is my heart you know & i'm screwing up my life & oh lord i need to find & someone who can heal my mind & come on come on come on & get through it & come on come on come on & love's the greatest thing & come on come on come on & get through it & come on come on come on & love's the greatest thing & that we have & i'm waiting for that feeling & i'm waiting for that feeling & waiting for that feeling to come & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby &,,,,
blur,song 2,woo-hoo & woo-hoo & woo-hoo & woo-hoo & i got my head checked & by a jumbo jet & it wasn't easy & but nothing is & no & woo-hoo & when i feel heavy-metal & and i'm pins and i'm needles & well i lie and i'm easy & all the time but i'm never sure & why i need you & pleased to meet you & i got my head down & when i was young & it's not my problem & it's not my problem & woo-hoo & when i feel heavy-metal & and i'm pins and i'm needles & well i lie and i'm easy & all the time but i am never sure & why i need you & pleased to meet you & yeah yeah & yeah yeah & yeah yeah & oh yeah &,,,,
blur,charmless man,i met him in a crowded room & where people go to drink away their gloom & he sat me dawn and so began the story of a charmless man & educated the expensive way he knows his claret from a beaujolais & i think he'd like to have been ronnie kray & but then nature didn't make him that way & he thinks he's educated airs those family shares & will protect him that we will respect him & he moves in circles of friends & who just pretend that they like him & he does the same to them and when you put it all together & there's the model of a charmless man & he knows the swingers and their cavalry & says he can get in anywhere for free & i began to go a little cross eyed & and from this charmless man i just had to hide & he talks at speed he gets nosebleeds & he doesn't see his days & are tumbling down upon him & and yet he tries so hard to please & he's just so keen for you to listen & but no one is listening & and when you put it all together & there's the model of a charmless man &,,,,
george benson,on broadway,they say the neon lights are bright on broadway & they say there's always magic in the air & but when you're walkin' down the street & and you ain't had enough to eat & the glitter rubs right off and you're nowhere & they say the women treat you fine on broadway & but lookin' at them just gives me the blues & 'cause how ya gonna make some time & when all you got is one thin dime & and one thin dime won't even shine your shoes & they say that i won't last too long on broadway & i'll catch a grey hound bus for home they all say & but they're dead wrong i know they are & 'cause i can play this here guitar & and i won't quit till i'm a star on broadway &,,,,
george benson,turn your love around,turn your love around & george benson & you've got thelove & you've got the power & but you just don't understand & girl you've been charging by the hour & for your love & i'm tryin' to show how much i love you & still believe in romance & you're taking way too many chances & with my love & i remember & when you used to be & the talk of the town & all you get is lonely & turn your love around & don't you turn me down & i can show you how & turn your love around & without the woman i can make it & but i need the girl to stay & oh don't you let the lady take it & away & when all i need's a taste of yesterday & but you stay at home & all they get is lonely & turn your love around & don't you turn me down & i can show you how & turn your love around & oh girl you know me & i'm alone until you show me & that you're still in love with me & we're gonna make it & we're gonna take it & back where we belong & turn your love around & don't you turn me down & i can show you how & turn your love around & turn your love around & this time the girl became a woman & don't you turn me down & every woman needs a man & i can show you how & i love the girl i love the woman & turn your love around & turn your love around & this time the girl became a woman & don't you turn me down & every woman needs a man & i can show you how & i love the girl i love the woman & turn your love around & turn your love around & this time the girl became a woman & don't you turn me down & every woman needs a man & i can show you how & fade out &,,,,
george benson,this masquerade,are we really happy here & with this lonely game we play & looking for words to say & searching but not finding & understanding anywhere & we're lost in a masquerade & both afraid to say we're just to far away & from being close together from the start & we tried to talk it over but the words got in the way & we're lost inside this lonely game we play & thoughts of leaving disappear & every time i see your eyes & no matter how hard i try & to understand the reasons & why we carry on this way & we're lost in a masquerade &,,,,
george benson,give me the night,whenever dark has fallen & you know the spirit of the party & starts to come alive. & until the day is dawning & you can throw out all your blues & and hit the city lights. & 'cause there's music in the air & and lots of loving everywhere & so gimme the night. gimme the night. & you need the evening action & a place to dine a glass of wine & a little late romance. & it's a chain reaction. & you'll see the people of the world & coming out to dance. & 'cause there's music in the air & and lots of loving everywhere & so gimme the night. gimme the night. & so come on out tonight & and we'll lead the others & on a ride through paradise. & and if you feel all right & then we can be lovers 'cause i see that & starlight look in your eyes. & don't you know we can fly? & just gimme the night. gimme the night. & and if we stay together & we'll feel the rhythm of the evening & taking us up high. & never mind the weather. & we'll be dancing in the street & until the morning light. & 'cause there's music in the air & and lots of loving everywhere. & so gimme the night. gimme the night &,,,,
a,a,hey we're gonna be around & hey we're gonna work it out & hey there's nothing to fight about & today we're gonna be around & you hardly know me you say i'm your best friend & everything's ace it'll work out in the end & say that you love us i don't believe & that you want me to stay & you're hoping i'll go away & hey i'm gonna be around & hey i'm gonna work it out & hey there's plenty to fight about & no way i'm ever going down & you hardly know me you say i'm your best friend & everything's ace it'll work out in the end & say that you love us i don't believe & that you want me to stay & you're hoping i'll go away & you follow me here follow me there & you mess me around like you think that i care & you think that i need you you think that you know me & you can tell me all the things you want to say & 'cause i'll get better anyway & follow me here follow me there & mess me around like you think that i care & mess me around like you think that i care & mess me around like you think that i care & you think that i need you think that you own me & don't think i see ya don't think you know me & follow me here follow me there & mess me around like you think that i care & hey i'm gonna be around & hey i'm gonna work it out & hey there's plenty to fight about & today were gonna be around & hey &,,,,
abc,poison arrow,if i were to say to you & can you keep a secret? & would you know just what to do & or where to keep it? & then i say i love you & and foul the situation & hey girl i thought we were & the right combination & who broke my heart? & you did you did & bow to the target & blame cupid cupid & you think you're smart & stupid stupid & shoot that poison arrow though to my heart & shoot that poison arrow & no rhythm in cymbals & no tempo in drums & love on arrival & she comes when she comes & right on the target & but wide of the mark & what i thought was the fire & was only the spark & the sweetest melody & is an unheard refrain & so lower your sights yeah but raise your aim & raise your aim & i thought you loved me but it seems you don't care & i care enough to know i can never love you & who broke my heart? & you did you did & bow to the target & blame cupid cupid & you think you're smart & stupid stupid & right from the start & when you knew we would part & shoot that poison arrow though to my heart & shoot that poison arrow &,,,,
